x,y,z,time,energy
-132.800, -501.450, -231.820, 4010.114, 0.902
-9.130, -481.740, -181.600, 1361.123, 0.203
-9.130, -481.740, -198.620, 2871.843, 0.290
-9.130, -481.740, -215.640, 1043.867, 2.981
-9.130, -481.740, -232.660, 1220.166, 0.852
-9.130, -481.740, -249.680, 1067.945, 1.031
-9.130, -481.740, -266.700, 1084.923, 5.715
-9.130, -481.740, -283.720, 1169.538, 0.357
-9.130, -481.740, -300.740, 994.765, 4.173
-9.130, -481.740, -317.760, 1918.263, 1.473
-9.130, -481.740, -334.780, 1246.035, 2.837
-9.130, -481.740, -351.800, 1328.849, 1.991
-9.130, -481.740, -368.820, 1576.241, 1.501
-9.130, -481.740, -402.870, 1484.219, 1.085
-9.130, -481.740, -419.890, 1482.299, 0.354
114.390, -461.990, -114.080, 1633.713, 1.448
114.390, -461.990, -131.100, 813.237, 3.795
114.390, -461.990, -148.120, 898.500, 3.516
114.390, -461.990, -165.140, 1041.382, 3.509
114.390, -461.990, -182.170, 587.810, 9.442
114.390, -461.990, -199.190, 609.722, 10.323
114.390, -461.990, -216.210, 393.756, 18.086
114.390, -461.990, -233.230, 295.089, 19.569
114.390, -461.990, -250.250, 244.276, 43.971
114.390, -461.990, -267.270, 215.994, 44.376
114.390, -461.990, -284.290, 227.563, 39.699
114.390, -461.990, -301.310, 263.303, 25.153
114.390, -461.990, -318.330, 319.478, 38.152
114.390, -461.990, -335.350, 431.699, 22.915
114.390, -461.990, -352.370, 437.878, 20.112
114.390, -461.990, -369.390, 760.570, 14.228
114.390, -461.990, -386.410, 681.822, 6.754
114.390, -461.990, -403.440, 761.009, 14.652
114.390, -461.990, -420.460, 814.567, 6.340
114.390, -461.990, -437.480, 899.177, 2.332
114.390, -461.990, -454.500, 1346.374, 1.654
114.390, -461.990, -488.540, 1822.478, 0.723
237.780, -442.420, -128.300, 2003.532, 1.908
237.780, -442.420, -145.320, 522.773, 8.149
237.780, -442.420, -162.340, 600.672, 6.316
237.780, -442.420, -179.370, 323.548, 10.069
237.780, -442.420, -196.390, 364.913, 24.368
237.780, -442.420, -213.410, 163.761, 38.312
237.780, -442.420, -230.430, 169.368, 43.577
237.780, -442.420, -247.450, 49.426, 86.379
237.780, -442.420, -264.470, 26.433, 119.017
237.780, -442.420, -281.490, 23.478, 158.338
237.780, -442.420, -298.510, 0.000, 175.728
237.780, -442.420, -315.530, 67.412, 161.994
237.780, -442.420, -332.550, 93.652, 114.047
237.780, -442.420, -349.570, 113.607, 89.385
237.780, -442.420, -366.590, 177.790, 87.090
237.780, -442.420, -383.610, 224.554, 64.638
237.780, -442.420, -400.640, 237.992, 55.787
237.780, -442.420, -417.660, 366.721, 26.687
237.780, -442.420, -434.680, 360.707, 7.837
237.780, -442.420, -451.700, 720.153, 2.155
237.780, -442.420, -468.720, 796.379, 2.624
237.780, -442.420, -485.740, 959.800, 5.533
237.780, -442.420, -502.760, 1668.925, 2.765
361.000, -422.830, -130.250, 978.802, 2.566
361.000, -422.830, -147.270, 599.065, 2.517
361.000, -422.830, -164.290, 499.427, 6.137
361.000, -422.830, -181.320, 334.620, 6.927
361.000, -422.830, -198.340, 238.355, 11.683
361.000, -422.830, -215.360, 232.776, 11.019
361.000, -422.830, -232.380, 205.306, 18.580
361.000, -422.830, -249.400, 144.036, 37.980
361.000, -422.830, -266.420, 98.650, 41.200
361.000, -422.830, -283.440, 75.284, 69.940
361.000, -422.830, -300.460, 68.327, 75.800
361.000, -422.830, -317.480, 65.759, 59.452
361.000, -422.830, -334.500, 87.820, 46.194
361.000, -422.830, -351.520, 138.629, 35.259
